id,name,website,entity_type,primary_category,secondary_categories,cxo_roles,categories,headquarters,geographies,geography_status,founded_year,verification_status
"ent_sage","Sage","https://www.sage.com/","finance technology company","Accounting Software","CFO Technology","CFO|CIO|CEO","Accounting Software|CFO Technology","","United States","verified","","verified"
"ent_workiva","Workiva","https://www.workiva.com/","finance technology company","CFO Technology","Fintech","CFO|CIO|CEO","CFO Technology|Fintech","","United States","verified","","verified"
"ent_floqast","FloQast","https://www.floqast.com/","finance technology company","Accounting Software","CFO Technology","CFO|CIO|CEO","Accounting Software|CFO Technology","","United States","verified","","verified"
"ent_planful","Planful","https://planful.com/","finance technology company","CFO Technology","Fintech","CFO|CIO|CEO","CFO Technology|Fintech","","United States","verified","","verified"
"ent_onestream","OneStream","https://www.onestream.com/","finance technology company","CFO Technology","Fintech","CFO|CIO|CEO","CFO Technology|Fintech","","United States","verified","","verified"
"ent_trintech","Trintech","https://www.trintech.com/","finance technology company","Accounting Software","CFO Technology","CFO|CIO|CEO","Accounting Software|CFO Technology","","United States","verified","","verified"
"ent_tipalti","Tipalti","https://tipalti.com/","finance technology company","CFO Technology","Payments|Fintech","CFO|CIO|CEO","CFO Technology|Payments|Fintech","","United States","verified","","verified"
"ent_avalara","Avalara","https://www.avalara.com/","finance technology company","Tax Technology","CFO Technology","CFO|CIO|CEO","Tax Technology|CFO Technology","","United States","verified","","verified"
"ent_vertex","Vertex","https://www.vertexinc.com/","finance technology company","Tax Technology","CFO Technology","CFO|CIO|CEO","Tax Technology|CFO Technology","","United States","verified","","verified"
"ent_sovos","Sovos","https://sovos.com/","finance technology company","Tax Technology","CFO Technology","CFO|CIO|CEO","Tax Technology|CFO Technology","","United States","verified","","verified"
"ent_highradius","HighRadius","https://www.highradius.com/","finance technology company","CFO Technology","Fintech","CFO|CIO|CEO","CFO Technology|Fintech","","United States","verified","","verified"
"ent_kyriba","Kyriba","https://www.kyriba.com/","finance technology company","Treasury Technology","CFO Technology","CFO|CIO|CEO","Treasury Technology|CFO Technology","","United States","verified","","verified"
"ent_coupa","Coupa","https://www.coupa.com/","Organization","CFO Technology","Spend Management|Enterprise Technology","CFO|COO","CFO Technology|Spend Management|Enterprise Technology","San Mateo, California, United States","United States|San Francisco Bay Area|London|Singapore","verified","","verified"
"ent_puzzle","Puzzle","https://puzzle.io/","Organization","CFO Technology","Accounting Software","CFO","CFO Technology|Accounting Software","","United States","verified","","verified"
"ent_tesorio","Tesorio","https://www.tesorio.com/","Organization","CFO Technology","Treasury Technology","CFO","CFO Technology|Treasury Technology","","","unknown","2015","verified"
"ent_vic_ai","Vic.ai","https://www.vic.ai/","Organization","CFO Technology","Artificial Intelligence|Accounting Software","CFO","CFO Technology|Artificial Intelligence|Accounting Software","","","unknown","2017","verified"
"ent_ramp","Ramp","https://ramp.com/","Organization","CFO Technology","Spend Management|Fintech","CFO","CFO Technology|Spend Management|Fintech","New York, New York, United States","","unknown","2019","verified"
"ent_brex","Brex","https://www.brex.com/","Organization","CFO Technology","Spend Management|Fintech","CFO","CFO Technology|Spend Management|Fintech","San Francisco, California, United States","","unknown","2017","verified"
"ent_anrok","Anrok","https://www.anrok.com/","Organization","CFO Technology","Tax Technology","CFO","CFO Technology|Tax Technology","","United States","verified","2020","verified"
"ent_blackline","BlackLine","https://www.blackline.com/","Organization","CFO Technology","Accounting Software","CFO","CFO Technology|Accounting Software","Los Angeles, California, United States","United States|Los Angeles|London","verified","2001","verified"
"ent_pilot","Pilot","https://pilot.com/","Organization","Accounting","Finance Advisory|CFO Technology","CEO|CFO","Accounting|Finance Advisory|CFO Technology","San Francisco, California, United States","United States","verified","2017","verified"
"ent_rillet","Rillet","https://www.rillet.com/","Organization","CFO Technology","Accounting Software","CFO","CFO Technology|Accounting Software","","United States","verified","","verified"
"ent_zenskar","Zenskar","https://www.zenskar.com/","Organization","CFO Technology","Accounting Software","CFO","CFO Technology|Accounting Software","New York, New York, United States","United States|New York","verified","2022","verified"
"ent_bill","BILL","https://www.bill.com/","Organization","CFO Technology","Spend Management|Payments","CFO","CFO Technology|Spend Management|Payments","San Jose, California, United States","","unknown","","verified"
"ent_carta","Carta","https://carta.com/","Organization","Equity Management","Private Market Infrastructure|CFO Technology","CEO|CFO|CLO","Equity Management|Private Market Infrastructure|CFO Technology","San Francisco, California, United States","United States|San Francisco Bay Area|London|Singapore","verified","2012","verified"
"ent_zeni","Zeni","https://www.zeni.ai/","Organization","CFO Technology","Accounting|Artificial Intelligence","CEO|CFO","CFO Technology|Accounting|Artificial Intelligence","Palo Alto, California, United States","United States","verified","2019","verified"
"ent_xero","Xero","https://www.xero.com/","Organization","Accounting Software","CFO Technology","CFO","Accounting Software|CFO Technology","Wellington, New Zealand","","unknown","2006","verified"
"ent_pulley","Pulley","https://pulley.com/","Organization","Equity Management","CFO Technology","CEO|CFO|CLO","Equity Management|CFO Technology","","","unknown","","verified"
"ent_paygentic","Paygentic","https://paygentic.com/","Organization","CFO Technology","Fintech","CFO","CFO Technology|Fintech","","","unknown","","verified"
"ent_finrep","Finrep","https://finrep.ai/","Organization","CFO Technology","Artificial Intelligence|Accounting Software","CFO","CFO Technology|Artificial Intelligence|Accounting Software","","","unknown","","verified"
