id,name,website,entity_type,cxo_roles,categories,headquarters,geographies,founded_year,verification_status
"ent_coupa","Coupa","https://www.coupa.com/","Organization","CFO|COO","CFO Technology|Spend Management|Enterprise Technology","","United States","","verified"
"ent_puzzle","Puzzle","https://puzzle.io/","Organization","CFO","CFO Technology|Accounting Software","","United States","","verified"
"ent_tesorio","Tesorio","https://www.tesorio.com/","Organization","CFO","CFO Technology|Treasury Technology","","United States","","verified"
"ent_vic_ai","Vic.ai","https://www.vic.ai/","Organization","CFO","CFO Technology|Artificial Intelligence|Accounting Software","","United States","","verified"
"ent_ramp","Ramp","https://ramp.com/","Organization","CFO","CFO Technology|Spend Management|Fintech","New York, New York, United States","United States","","verified"
"ent_brex","Brex","https://www.brex.com/","Organization","CFO","CFO Technology|Spend Management|Fintech","San Francisco, California, United States","United States","2017","verified"
"ent_anrok","Anrok","https://www.anrok.com/","Organization","CFO","CFO Technology|Tax Technology","","United States","","verified"
"ent_blackline","BlackLine","https://www.blackline.com/","Organization","CFO","CFO Technology|Accounting Software","","United States","","verified"
"ent_pilot","Pilot","https://pilot.com/","Organization","CEO|CFO","Accounting|Finance Advisory|CFO Technology","","United States","","verified"
"ent_rillet","Rillet","https://www.rillet.com/","Organization","CFO","CFO Technology|Accounting Software","","United States","","verified"
"ent_zenskar","Zenskar","https://www.zenskar.com/","Organization","CFO","CFO Technology|Accounting Software","","United States","","verified"
"ent_bill","BILL","https://www.bill.com/","Organization","CFO","CFO Technology|Spend Management|Payments","","United States","","verified"
"ent_carta","Carta","https://carta.com/","Organization","CEO|CFO|CLO","Equity Management|Private Market Infrastructure|CFO Technology","","United States","","verified"
"ent_zeni","Zeni","https://www.zeni.ai/","Organization","CEO|CFO","CFO Technology|Accounting|Artificial Intelligence","","United States","","verified"
"ent_xero","Xero","https://www.xero.com/","Organization","CFO","Accounting Software|CFO Technology","","United States","","verified"
"ent_pulley","Pulley","https://pulley.com/","Organization","CEO|CFO|CLO","Equity Management|CFO Technology","","United States","","verified"
"ent_paygentic","Paygentic","https://paygentic.com/","Organization","CFO","CFO Technology|Fintech","","United States","","verified"
"ent_finrep","Finrep","https://finrep.ai/","Organization","CFO","CFO Technology|Artificial Intelligence|Accounting Software","","United States","","verified"
