id,name,slug,entity_type,website,cxo_roles,categories,provider_types,community_formats,event_formats,intelligence_types,resource_types,executive_needs,topics,audiences,industries,geographies,verification_status,last_verified
"ent_vistage","Vistage","vistage","executive community","https://www.vistage.com/","CEO","Executive Communities|Executive Coaching","executive-communities|executive-coaching","peer-network|peer-group|membership-organization","","","","peer-learning|leadership-development|decision-support","","","","United States","verified","2026-08-11"
"ent_entrepreneurs_organization","Entrepreneurs' Organization","entrepreneurs-organization","executive community","https://eonetwork.org/","CEO","Executive Communities|Corporate Membership Organizations","executive-communities|corporate-membership-organizations","executive-community|peer-network|peer-group|membership-organization","","","","executive-networking|peer-learning|leadership-development","","founders","","United States","verified","2026-08-11"
"ent_pavilion","Pavilion","pavilion","executive community","https://www.joinpavilion.com/","CEO|CMO|COO","Executive Communities|Executive Education","executive-communities|executive-education","executive-community|executive-network|membership-organization","executive-event|workshop","","","executive-networking|peer-learning|professional-development","go-to-market|marketing|growth","","","United States|New York","verified","2026-08-11"
"ent_korn_ferry","Korn Ferry","korn-ferry","executive search firm","https://www.kornferry.com/","CEO|CFO|CMO|CISO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","executive-search|consulting|board-advisory","","","","","talent|leadership-development|board-effectiveness","board-governance|corporate-governance","board-members","","United States|Los Angeles|New York|London|Singapore","verified","2026-08-11"
"ent_russell_reynolds_associates","Russell Reynolds Associates","russell-reynolds-associates","executive search firm","https://www.russellreynolds.com/","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Board Advisory","executive-search|board-advisory","","","","","talent|leadership-development|board-effectiveness","board-governance|corporate-governance","board-members","","United States|New York|Boston|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_heidrick_struggles","Heidrick & Struggles","heidrick-struggles","executive search firm","https://www.heidrick.com/","CEO|CFO|CMO|CIO|CTO|COO|CHRO|CLO|Board","Executive Search|Consulting|Board Advisory","executive-search|consulting|board-advisory","","","","","talent|leadership-development|board-effectiveness","board-governance|corporate-governance","board-members","","United States|Chicago|New York|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_wilson_sonsini","Wilson Sonsini Goodrich & Rosati","wilson-sonsini","law firm","https://www.wsgr.com/","CEO|CFO|CLO|General Counsel|Board","Law Firms","law-firms","","","","","governance|risk-management|capital-formation","corporate-governance|venture-capital|emerging-technology","","Technology|SaaS|Artificial Intelligence|Life Sciences","United States|Silicon Valley|San Francisco Bay Area|New York|Boston|London","verified","2026-08-11"
"ent_fenwick_west","Fenwick & West","fenwick-west","law firm","https://www.fenwick.com/","CEO|CFO|CLO|General Counsel|Board","Law Firms","law-firms","","","","","governance|risk-management|capital-formation","corporate-governance|venture-capital|emerging-technology","","Technology|SaaS|Artificial Intelligence|Life Sciences","United States|Silicon Valley|San Francisco Bay Area|New York","verified","2026-08-11"
"ent_latham_watkins","Latham & Watkins","latham-watkins","law firm","https://www.lw.com/","CEO|CFO|CLO|General Counsel|Board","Law Firms","law-firms","","","","","governance|risk-management|capital-formation","corporate-governance|private-equity|private-markets|capital-strategy","","Professional Services|Technology|Financial Services|Energy","United States|Los Angeles|New York|San Francisco Bay Area|London|Singapore","verified","2026-08-11"
"ent_pwc","PwC","pwc","professional services firm","https://www.pwc.com/","CEO|CFO|CISO|CIO|CTO|COO|CHRO|CLO|Board","Accounting|Consulting|Finance Advisory","accounting|consulting|finance-advisory","","","","","strategic-insight|decision-support|risk-management|transformation","enterprise-ai|finance-transformation|cybersecurity|risk","","","United States|New York|Boston|Chicago|London|Singapore","verified","2026-08-11"
